year,title,link,abstract
2022,creative problem solving in artificially intelligent agents: a survey and framework,https://www.jair.org/index.php/jair/article/view/13864,"creative problem solving (cps) is a sub-area within artificial intelligence (ai) that focuses on methods for solving off-nominal, or anomalous problems in autonomous systems. despite many advancements in planning and learning, resolving novel problems or adapting existing knowledge to a new context, especially in cases where the environment may change in unpredictable ways post deployment, remains a limiting factor in the safe and useful integration of intelligent systems. the emergence of increasingly autonomous systems dictates the necessity for ai agents to deal with environmental uncertainty through creativity. to stimulate further research in cps, we present a definition and a framework of cps, which we adopt to categorize existing ai methods in this field. our framework consists of four main components of a cps problem, namely, 1) problem formulation, 2) knowledge representation, 3) method of knowledge manipulation, and 4) method of evaluation. we conclude our survey with open research questions, and suggested directions for the future."
2022,interpretable local concept-based explanation with human feedback to predict all-cause mortality,https://www.jair.org/index.php/jair/article/view/14019,"machine learning models are incorporated in different fields and disciplines in which some of them require a high level of accountability and transparency, for example, the healthcare sector. with the general data protection regulation (gdpr), the importance for plausibility and verifiability of the predictions made by machine learning models has become essential. a widely used category of explanation techniques attempts to explain models' predictions by quantifying the importance score of each input feature. however, summarizing such scores to provide human-interpretable explanations is challenging. another category of explanation techniques focuses on learning a domain representation in terms of high-level human-understandable concepts and then utilizing them to explain predictions. these explanations are hampered by how concepts are constructed, which is not intrinsically interpretable. to this end, we propose concept-based local explanations with feedback (clef), a novel local model agnostic explanation framework for learning a set of high-level transparent concept definitions in high-dimensional tabular data that uses clinician-labeled concepts rather than raw features. clef maps the raw input features to high-level intuitive concepts and then decompose the evidence of prediction of the instance being explained into concepts. in addition, the proposed framework generates counterfactual explanations, suggesting the minimum changes in the instance's concept based explanation that will lead to a different prediction. we demonstrate with simulated user feedback on predicting the risk of mortality. such direct feedback is more effective than other techniques, that rely on hand-labelled or automatically extracted concepts, in learning concepts that align with ground truth concept definitions."
2022,computational short cuts in infinite domain constraint satisfaction,https://www.jair.org/index.php/jair/article/view/13787,"a backdoor in a finite-domain csp instance is a set of variables where each possible instantiation moves the instance into a polynomial-time solvable class. backdoors have found many applications in artificial intelligence and elsewhere, and the algorithmic problem of finding such backdoors has consequently been intensively studied. sioutis and janhunen have proposed a generalised backdoor concept suitable for infinite-domain csp instances over binary constraints. we generalise their concept into a large class of csps that allow for higher-arity constraints. we show that this kind of infinite-domain backdoors have many of the positive computational properties that finite-domain backdoors have: the associated computational problems are fixed parameter tractable whenever the underlying constraint language is finite. on the other hand, we show that infinite languages make the problems considerably harder: the general backdoor detection problem is w[2]-hard and fixed-parameter tractability is ruled out under standard complexity-theoretic assumptions. we demonstrate that backdoors may have suboptimal behaviour on binary constraints--this is detrimental from an ai perspective where binary constraints are predominant in, for instance, spatiotemporal applications. in response to this, we introduce sidedoors as an alternative to backdoors. the fundamental computational problems for sidedoors remain fixed-parameter tractable for finite constraint language (possibly also containing non-binary relations). moreover, the sidedoor approach has appealing computational properties that sometimes leads to faster algorithms than the backdoor approach."
2022,solving the watchman route problem with heuristic search,https://www.jair.org/index.php/jair/article/view/13685,"this paper solves the watchman route problem (wrp) on a general discrete graph with heuristic search. given a graph, a line-of-sight (los) function, and a start vertex, the task is to (offline) find a (shortest) path through the graph such that all vertices in the graph will be visually seen by at least one vertex on the path. wrp is reminiscent but different from graph covering and mapping problems, which are done online on an unknown graph. we formalize wrp as a heuristic search problem and solve it optimally with an a*-based algorithm. we develop a series of admissible heuristics with increasing difficulty and accuracy. our heuristics abstract the underlying graph into a disjoint line-of-sight graph (gdls) which is based on disjoint clusters of vertices such that vertices within the same cluster have los to the same specific vertex. we use solutions for the minimum spanning tree (mst) and the traveling salesman problem (tsp) of gdls as admissible heuristics for wrp. we theoretically and empirically investigate these heuristics. then, we show how the optimal methods can be modified (by intelligently pruning away large sub-trees) to obtain various suboptimal solvers with and without bound guarantees. these suboptimal solvers are much faster and expand fewer nodes than the optimal solver with only minor reduction in the quality of the solution."
2022,deepsym: deep symbol generation and rule learning for planning from unsupervised robot interaction,https://www.jair.org/index.php/jair/article/view/13754,"symbolic planning and reasoning are powerful tools for robots tackling complex tasks. however, the need to manually design the symbols restrict their applicability, especially for robots that are expected to act in open-ended environments. therefore symbol formation and rule extraction should be considered part of robot learning, which, when done properly, will offer scalability, flexibility, and robustness. towards this goal, we propose a novel general method that finds action-grounded, discrete object and effect categories and builds probabilistic rules over them for non-trivial action planning. our robot interacts with objects using an initial action repertoire that is assumed to be acquired earlier and observes the effects it can create in the environment. to form action-grounded object, effect, and relational categories, we employ a binary bottleneck layer in a predictive, deep encoderdecoder network that takes the image of the scene and the action applied as input, and generates the resulting effects in the scene in pixel coordinates. after learning, the binary latent vector represents action-driven object categories based on the interaction experience of the robot. to distill the knowledge represented by the neural network into rules useful for symbolic reasoning, a decision tree is trained to reproduce its decoder function. probabilistic rules are extracted from the decision paths of the tree and are represented in the probabilistic planning domain definition language (ppddl), allowing off-the-shelf planners to operate on the knowledge extracted from the sensorimotor experience of the robot. the deployment of the proposed approach for a simulated robotic manipulator enabled the discovery of discrete representations of object properties such as 'rollable' and 'insertable'. in turn, the use of these representations as symbols allowed the generation of effective plans for achieving goals, such as building towers of the desired height, demonstrating the effectiveness of the approach for multi-step object manipulation. finally, we demonstrate that the system is not only restricted to the robotics domain by assessing its applicability to the mnist 8-puzzle domain in which learned symbols allow for the generation of plans that move the empty tile into any given position."
2022,aan+: generalized average attention network for accelerating neural transformer,https://www.jair.org/index.php/jair/article/view/13896,"transformer benefits from the high parallelization of attention networks in fast training, but it still suffers from slow decoding partially due to the linear dependency o(m) of the decoder self-attention on previous target words at inference. in this paper, we propose a generalized average attention network (aan+) aiming at speeding up decoding by reducing the dependency from o(m) to o(1). we find that the learned self-attention weights in the decoder follow some patterns which can be approximated via a dynamic structure. based on this insight, we develop aan+, extending our previously proposed average attention (zhang et al., 2018a, aan) to support more general position- and content-based attention patterns. aan+ only requires to maintain a small constant number of hidden states during decoding, ensuring its o(1) dependency. we apply aan+ as a drop-in replacement of the decoder selfattention and conduct experiments on machine translation (with diverse language pairs), table-to-text generation and document summarization. with masking tricks and dynamic programming, aan+ enables transformer to decode sentences around 20% faster without largely compromising in the training speed and the generation performance. our results further reveal the importance of the localness (neighboring words) in aan+ and its capability in modeling long-range dependency."
2022,communication-aware local search for distributed constraint optimization,https://www.jair.org/index.php/jair/article/view/13826,"most studies investigating models and algorithms for distributed constraint optimization problems (dcops) assume that messages arrive instantaneously and are never lost. specifically, distributed local search dcop algorithms, have been designed as synchronous algorithms (i.e., they perform in synchronous iterations in which each agent exchanges messages with all its neighbors), despite running in asynchronous environments. this is true also for an anytime mechanism that reports the best solution explored during the run of synchronous distributed local search algorithms. thus, when the assumption of perfect communication is relaxed, the properties that were established for the state-of-the-art local search algorithms and the anytime mechanism may not necessarily apply.
in this work, we address this limitation by: (1) proposing a communication-aware dcop model (ca-dcop) that can represent scenarios with different communication disturbances; (2) investigating the performance of existing local search dcop algorithms, specifically distributed stochastic algorithm (dsa) and maximum gain messages (mgm), in the presence of message latency and message loss; (3) proposing a latency-aware monotonic distributed local search dcop algorithm; and (4) proposing an asynchronous anytime framework for reporting the best solution explored by non-monotonic asynchronous local search dcop algorithms. our empirical results demonstrate that imperfect communication has a positive effect on distributed local search algorithms due to increased exploration. furthermore, the asynchronous anytime framework we proposed allows one to benefit from algorithms with inherent explorative heuristics."
2022,low-rank representation of reinforcement learning policies,https://www.jair.org/index.php/jair/article/view/13854,"we propose a general framework for policy representation for reinforcement learning tasks. this framework involves finding a low-dimensional embedding of the policy on a reproducing kernel hilbert space (rkhs). the usage of rkhs based methods allows us to derive strong theoretical guarantees on the expected return of the reconstructed policy. such guarantees are typically lacking in black-box models, but are very desirable in tasks requiring stability and convergence guarantees. we conduct several experiments on classic rl domains. the results confirm that the policies can be robustly represented in a low-dimensional space while the embedded policy incurs almost no decrease in returns."
2022,mean-semivariance policy optimization via risk-averse reinforcement learning,https://www.jair.org/index.php/jair/article/view/13833,"keeping risk under control is often more crucial than maximizing expected reward in real-world decision-making situations, such as finance, robotics, autonomous driving, etc. the most natural choice of risk measures is variance, while it penalizes the upside volatility as much as the downside part. instead, the (downside) semivariance, which captures the negative deviation of a random variable under its mean, is more suitable for risk-averse proposes. this paper aims at optimizing the mean-semivariance (msv) criterion in reinforcement learning w.r.t. steady rewards. since semivariance is time-inconsistent and does not satisfy the standard bellman equation, the traditional dynamic programming methods are inapplicable to msv problems directly. to tackle this challenge, we resort to the perturbation analysis (pa) theory and establish the performance difference formula for msv. we reveal that the msv problem can be solved by iteratively solving a sequence of rl problems with a policy-dependent reward function. further, we propose two on-policy algorithms based on the policy gradient theory and the trust region method. finally, we conduct diverse experiments from simple bandit problems to continuous control tasks in mujoco, which demonstrate the effectiveness of our proposed methods."
2022,planted dense subgraphs in dense random graphs can be recovered using graph-based machine learning,https://www.jair.org/index.php/jair/article/view/13976,"multiple methods of finding the vertices belonging to a planted dense subgraph in a random dense g(n, p) graph have been proposed, with an emphasis on planted cliques. such methods can identify the planted subgraph in polynomial time, but are all limited to several subgraph structures. here, we present pygon, a graph neural network-based algorithm, which is insensitive to the structure of the planted subgraph. this is the first algorithm that uses learning tools for recovering dense subgraphs. we show that pygon can recover cliques of sizes th ( n), where n is the size of the background graph, comparable with the state of the art. we also show that the same algorithm can recover multiple other planted subgraphs of size th ( n), in both directed and undirected graphs. we suggest a conjecture that no polynomial time pac-learning algorithm can detect planted dense subgraphs with size smaller than o ( n), even if in principle one could find dense subgraphs of logarithmic size."
2022,planning with perspectives -- decomposing epistemic planning using functional strips,https://www.jair.org/index.php/jair/article/view/13446,"in this paper, we present a novel approach to epistemic planning called planning with perspectives (pwp) that is both more expressive and computationally more efficient than existing state-of-the-art epistemic planning tools. epistemic planning -- planning with knowledge and belief -- is essential in many multi-agent and human-agent interaction domains. most state-of-the-art epistemic planners solve epistemic planning problems by either compiling to propositional classical planning (for example, generating all possible knowledge atoms or compiling epistemic formulae to normal forms); or explicitly encoding kripke-based semantics. however, these methods become computationally infeasible as problem sizes grow. in this paper, we decompose epistemic planning by delegating reasoning about epistemic formulae to an external solver. we do this by modelling the problem using functional strips, which is more expressive than standard strips and supports the use of external, black-box functions within action models. building on recent work that demonstrates the relationship between what an agent 'sees' and what it knows, we define the perspective of each agent using an external function, and build a solver for epistemic logic around this. modellers can customise the perspective function of agents, allowing new epistemic logics to be defined without changing the planner. we ran evaluations on well-known epistemic planning benchmarks to compare an existing state-of-the-art planner, and on new scenarios that demonstrate the expressiveness of the pwp approach. the results show that our pwp planner scales significantly better than the state-of-the-art planner that we compared against, and can express problems more succinctly."
2022,a survey of methods for automated algorithm configuration,https://www.jair.org/index.php/jair/article/view/13676,"algorithm configuration (ac) is concerned with the automated search of the most suitable parameter configuration of a parametrized algorithm. there is currently a wide variety of ac problem variants and methods proposed in the literature. existing reviews do not take into account all derivatives of the ac problem, nor do they offer a complete classification scheme. to this end, we introduce taxonomies to describe the ac problem and features of configuration methods, respectively. we review existing ac literature within the lens of our taxonomies, outline relevant design choices of configuration approaches, contrast methods and problem variants against each other, and describe the state of ac in industry. finally, our review provides researchers and practitioners with a look at future research directions in the field of ac."
2022,domain adaptation and multi-domain adaptation for neural machine translation: a survey,https://www.jair.org/index.php/jair/article/view/13566,"the development of deep learning techniques has allowed neural machine translation (nmt) models to become extremely powerful, given sufficient training data and training time. however, systems struggle when translating text from a new domain with a distinct style or vocabulary. fine-tuning on in-domain data allows good domain adaptation, but requires sufficient relevant bilingual data. even if this is available, simple fine-tuning can cause overfitting to new data and catastrophic forgetting of previously learned behaviour.
we survey approaches to domain adaptation for nmt, particularly where a system may need to translate across multiple domains. we divide techniques into those revolving around data selection or generation, model architecture, parameter adaptation procedure, and inference procedure. we finally highlight the benefits of domain adaptation and multidomain adaptation techniques to other lines of nmt research."
2022,multi-agent path finding: a new boolean encoding,https://www.jair.org/index.php/jair/article/view/13818,"multi-agent pathfinding (mapf) is an np-hard problem. as such, dense maps may be very hard to solve optimally. in such scenarios, compilation-based approaches, via boolean satisfiability (sat) and answer set programming (asp), have been shown to outperform heuristic-search-based approaches, such as conflict-based search (cbs). in this paper, we propose a new boolean encoding for mapf, and show how to implement it in asp and maxsat. a feature that distinguishes our encoding from existing ones is that swap and follow conflicts are encoded using binary clauses, which can be exploited by current conflict-driven clause learning (cdcl) solvers. in addition, the number of clauses used to encode swap and follow conflicts do not depend on the number of agents, allowing us to scale better. for maxsat, we study different ways in which we may combine the msu3 and lsu algorithms for maximum performance. in our experimental evaluation, we used square grids, ranging from 20 x 20 to 50 x 50 cells, and warehouse maps, with a varying number of agents and obstacles. we compared against representative solvers of the state-of-the-art, including the search-based algorithm cbs, the asp-based solver asp-mapf, and the branch-and-cut-and-price hybrid solver, bcp. we observe that the asp implementation of our encoding, asp-mapf2 outperforms other solvers in most of our experiments. the maxsat implementation of our encoding, mtms shows best performance in relatively small warehouse maps when the number of agents is large, which are the instances with closer resemblance to hard puzzle-like problems."
2022,on tackling explanation redundancy in decision trees,https://www.jair.org/index.php/jair/article/view/13575,"decision trees (dts) epitomize the ideal of interpretability of machine learning (ml) models. the interpretability of decision trees motivates explainability approaches by so-called intrinsic interpretability, and it is at the core of recent proposals for applying interpretable ml models in high-risk applications. the belief in dt interpretability is justified by the fact that explanations for dt predictions are generally expected to be succinct. indeed, in the case of dts, explanations correspond to dt paths. since decision trees are ideally shallow, and so paths contain far fewer features than the total number of features, explanations in dts are expected to be succinct, and hence interpretable. this paper offers both theoretical and experimental arguments demonstrating that, as long as interpretability of decision trees equates with succinctness of explanations, then decision trees ought not be deemed interpretable. the paper introduces logically rigorous path explanations and path explanation redundancy, and proves that there exist functions for which decision trees must exhibit paths with explanation redundancy that is arbitrarily larger than the actual path explanation. the paper also proves that only a very restricted class of functions can be represented with dts that exhibit no explanation redundancy. in addition, the paper includes experimental results substantiating that path explanation redundancy is observed ubiquitously in decision trees, including those obtained using different tree learning algorithms, but also in a wide range of publicly available decision trees. the paper also proposes polynomial-time algorithms for eliminating path explanation redundancy, which in practice require negligible time to compute. thus, these algorithms serve to indirectly attain irreducible, and so succinct, explanations for decision trees. furthermore, the paper includes novel results related with duality and enumeration of explanations, based on using sat solvers as witness-producing np-oracles."
2022,on efficient reinforcement learning for full-length game of starcraft ii,https://www.jair.org/index.php/jair/article/view/13743,"starcraft ii (sc2) poses a grand challenge for reinforcement learning (rl), of which the main difficulties include huge state space, varying action space, and a long time horizon. in this work, we investigate a set of rl techniques for the full-length game of starcraft ii. we investigate a hierarchical rl approach, where the hierarchy involves two. one is the extracted macro-actions from experts' demonstration trajectories to reduce the action space in an order of magnitude. the other is a hierarchical architecture of neural networks, which is modular and facilitates scale. we investigate a curriculum transfer training procedure that trains the agent from the simplest level to the hardest level. we train the agent on a single machine with 4 gpus and 48 cpu threads. on a 64x64 map and using restrictive units, we achieve a win rate of 99% against the difficulty level-1 built-in ai. through the curriculum transfer learning algorithm and a mixture of combat models, we achieve a 93% win rate against the most difficult non-cheating level built-in ai (level-7). in this extended version of the paper, we improve our architecture to train the agent against the most difficult cheating level ais (level-8, level-9, and level-10). we also test our method on different maps to evaluate the extensibility of our approach. by a final 3-layer hierarchical architecture and applying significant tricks to train sc2 agents, we increase the win rate against the level-8, level-9, and level-10 to 96%, 97%, and 94%, respectively. our codes and models are all open-sourced now at https://github.com/liuruoze/hiernet-sc2.
to provide a baseline referring the alphastar for our work as well as the research and open-source community, we reproduce a scaled-down version of it, mini-alphastar (mas). the latest version of mas is 1.07, which can be trained using supervised learning and reinforcement learning on the raw action space which has 564 actions. it is designed to run training on a single common machine, by making the hyper-parameters adjustable and some settings simplified. we then can compare our work with mas using the same computing resources and training time. by experiment results, we show that our method is more effective when using limited resources. the inference and training codes of mini-alphastar are all open-sourced at https://github.com/liuruoze/mini-alphastar. we hope our study could shed some light on the future research of efficient reinforcement learning on sc2 and other large-scale games."
2022,can we automate scientific reviewing?,https://www.jair.org/index.php/jair/article/view/12862,"the rapid development of science and technology has been accompanied by an exponential growth in peer-reviewed scientific publications. at the same time, the review of each paper is a laborious process that must be carried out by subject matter experts. thus, providing high-quality reviews of this growing number of papers is a significant challenge. in this work, we ask the question ""can we automate scientific reviewing? "", discussing the possibility of using natural language processing (nlp) models to generate peer reviews for scientific papers. because it is non-trivial to define what a ""good"" review is in the first place, we first discuss possible evaluation metrics that could be used to judge success in this task. we then focus on the machine learning domain and collect a dataset of papers in the domain, annotate them with different aspects of content covered in each review, and train targeted summarization models that take in papers as input and generate reviews as output. comprehensive experimental results on the test set show that while system-generated reviews are comprehensive, touching upon more aspects of the paper than human-written reviews, the generated texts are less constructive and less factual than human-written reviews for all aspects except the explanation of the core ideas of the papers, which are largely factually correct. given these results, we pose eight challenges in the pursuit of a good review generation system together with potential solutions, which, hopefully, will inspire more future research in this direction.
we make relevant resource publicly available for use by future research: https://github. com/neulab/reviewadvisor. in addition, while our conclusion is that the technology is not yet ready for use in high-stakes review settings we provide a system demo, reviewadvisor (http://review.nlpedia.ai/), showing the current capabilities and failings of state-of-the-art nlp models at this task (see demo screenshot in a.2). a review of this paper written by the system proposed in this paper can be found in a.1."
2022,altruistic hedonic games,https://www.jair.org/index.php/jair/article/view/13706,"hedonic games are coalition formation games in which players have preferences over the coalitions they can join. for a long time, all models of representing hedonic games were based upon selfish players only. among the known ways of representing hedonic games compactly, we focus on friend-oriented hedonic games and propose a novel model for them that takes into account not only the players' own preferences but also their friends' preferences. depending on the order in which players look at their own or their friends' preferences, we distinguish three degrees of altruism: selfish-first, equal-treatment, and altruistic-treatment preferences. we study both the axiomatic properties of these games and the computational complexity of problems related to various common stability concepts."
2022,semg-based upper limb movement classifier: current scenario and upcoming challenges,https://www.jair.org/index.php/jair/article/view/13999,"despite achieving accuracies higher than 90% on recognizing upper-limb movements through semg (surface electromyography) signal with the state of art classifiers in the laboratory environment, there are still issues to be addressed for a myo-controlled prosthesis achieve similar performance in real environment conditions. thereby, the main goal of this review is to expose the latest researches in terms of strategies in each block of the system, giving a global view of the current state of academic research. a systematic review was conducted, and the retrieved papers were organized according to the system step related to the proposed method. then, for each stage of the upper limb motion recognition system, the works were described and compared in terms of strategy, methodology and issue addressed. an additional section was destined for the description of works related to signal contamination that is often neglected in reviews focused on semg based motion classifiers. therefore, this section is the main contribution of this paper. deep learning methods are a current trend for classification stage, providing strategies based on time-series and transfer learning to address the issues related to limb position, temporal/inter-subject variation, and electrode displacement. despite the promising strategies presented for contaminant detection, identification, and removal, there are still some factors to be considered, such as the occurrence of simultaneous contaminants. this review exposes the current scenario of the movement classification system, providing valuable information for new researchers and guiding future works towards myo-controlled devices."
